tile,xoge,yoge
0,5,45
0,5,55
0,5,65
0,5,75
0,5,85
0,15,85
0,25,85
0,35,85
0,45,85
0,55,85
0,65,85
0,75,85
0,85,75
0,85,85
1,5,5
1,5,15
1,5,25
1,5,35
1,5,45
1,5,55
1,5,65
1,5,75
1,5,85
1,15,5
1,15,85
1,25,5
1,25,75
1,35,5
1,35,75
1,40,75
2,5,5
2,5,15
2,5,25
2,5,35
2,5,45
2,5,55
2,5,65
2,5,75
2,5,85
2,15,5
2,15,85
2,25,85
2,35,85
2,40,85
3,5,85
3,15,85
3,25,85
3,35,85
3,45,85
3,55,85
3,65,85
3,75,85
3,85,85
4,5,5
4,5,15
4,5,25
4,5,35
4,5,45
4,5,55
4,5,65
4,5,75
4,5,85
4,15,5
4,15,85
4,25,5
4,25,80
4,35,5
4,35,80
4,45,5
4,45,55
4,55,5
4,55,55
4,65,5
4,75,5
4,85,5
4,85,15
4,85,25
5,5,5
5,15,5
5,35,5
5,65,5
5,75,5
5,85,5
5,85,15
5,85,25
6,5,15
6,5,25
6,5,35
6,5,45
6,5,55
6,5,65
6,20,5
6,50,10
6,65,10
6,75,65
6,85,35
6,85,45
6,85,55
6,85,65
6,85,70
7,45,20
7,45,85
7,55,5
7,55,85
7,65,5
7,65,85
7,75,5
7,75,85
7,85,5
7,85,15
7,85,25
7,85,35
7,85,45
7,85,75
7,85,85
8,5,5
8,5,15
8,5,25
8,5,35
8,5,45
8,5,55
8,5,65
8,5,75
8,5,85
8,15,5
8,15,85
8,25,85
8,35,85
8,45,85
8,55,85
8,65,10
8,65,85
8,75,5
8,75,85
8,85,5
8,85,15
8,85,25
8,85,35
8,85,45
8,85,55
8,85,65
8,85,75
8,85,85
9,5,5
9,5,15
9,5,25
9,5,35
9,5,45
9,5,55
9,5,65
9,5,75
9,5,85
9,15,5
9,15,85
9,25,85
9,35,85
9,45,85
10,49,85
10,55,86
10,65,85
10,75,85
10,85,84
11,5,5
11,5,15
11,5,25
11,5,35
11,5,85
11,15,5
11,15,85
11,25,5
11,35,5
11,45,5
11,45,85
11,55,5
11,55,85
11,65,5
11,65,85
11,75,5
11,75,85
11,85,5
11,85,15
11,85,25
11,85,35
11,85,45
11,85,55
11,85,65
11,85,75
11,85,85
12,5,5
12,5,15
12,5,25
12,5,35
12,5,45
12,5,55
12,5,65
12,5,75
12,5,85
12,15,5
12,15,85
12,25,5
12,25,85
12,35,5
12,35,85
12,40,5
12,40,85
